item_id,attribute_id
1,25
1,14
2,36
2,13
2,21
3,25
3,17
3,4
4,32
4,13
4,46
5,18
6,14
7,44
7,11
7,5
8,12
9,28
9,44
10,47
10,1
10,29
11,50
11,37
11,29
12,18
12,16
13,38
13,37
14,38
15,41
15,7
15,25
16,6
16,9
17,45
17,19
18,34
19,42
19,6
20,45
20,28
20,36
21,35
22,47
22,32
23,13
24,38
24,1
25,2
26,25
26,50
26,37
27,19
27,27
28,6
28,22
29,2
29,26
30,35
31,33
32,13
33,41
33,25
34,5
34,50
34,27
35,13
35,50
35,33
36,20
36,22
36,16
37,11
38,44
38,34
39,14
39,34
40,28
40,40
40,11
41,2
41,33
42,47
42,42
42,10
43,31
43,22
44,2
45,3
45,19
46,42
47,48
47,46
48,24
49,46
49,19
49,6
50,2
51,22
51,2
51,43
52,21
52,19
52,12
53,38
53,33
54,36
54,14
54,41
55,5
55,50
56,12
56,16
57,32
58,29
59,41
60,18
61,16
62,6
63,12
64,24
65,23
65,4
65,12
66,18
66,5
66,45
67,33
68,10
68,47
68,42
69,29
70,6
70,27
71,2
72,41
72,22
72,23
73,46
73,44
74,27
74,24
75,22
75,43
76,14
76,47
76,3
77,41
77,25
78,27
78,21
79,24
79,39
79,2
80,23
80,49
81,32
82,5
82,20
83,46
84,44
85,10
85,36
85,9
86,39
87,49
87,41
88,40
89,47
90,48
91,43
91,20
91,25
92,23
93,35
93,7
94,36
94,46
94,23
95,23
95,26
95,15
96,44
97,23
98,1
98,37
98,20
99,23
99,44
100,50
100,45
100,1
101,49
102,21
103,15
104,8
104,24
105,44
106,42
106,40
106,7
107,42
107,1
107,31
108,2
108,24
108,40
109,12
109,11
109,15
110,28
111,21
111,36
112,42
113,9
114,40
114,5
114,25
115,9
115,43
115,49
116,15
116,49
116,50
117,25
117,18
118,15
119,20
119,12
120,42
120,48
121,9
122,45
122,29
123,29
123,26
123,39
124,7
125,14
125,8
125,11
126,14
127,4
128,26
128,32
129,49
129,34
130,24
130,44
130,38
131,10
131,9
132,50
132,24
133,42
133,17
134,45
134,37
135,34
135,31
136,20
136,43
137,15
138,7
138,27
139,16
139,40
140,4
140,49
140,44
141,47
141,46
142,17
143,18
143,1
144,30
144,18
144,24
145,6
145,46
145,10
146,29
146,17
147,34
147,47
148,15
148,29
148,26
149,35
149,40
150,20
150,9
151,10
151,47
152,27
152,11
153,13
153,47
154,23
154,27
155,48
156,28
156,26
156,22
157,45
157,50
157,36
158,15
159,36
159,41
160,27
160,22
161,23
162,9
163,45
164,33
165,38
165,35
166,12
167,2
168,20
169,50
169,6
169,33
170,44
171,10
171,27
172,28
173,1
173,25
174,25
175,15
176,26
177,13
178,34
178,14
179,22
180,5
180,38
181,20
182,17
182,20
182,34
183,50
183,16
183,9
184,24
184,28
184,6
185,17
186,8
187,11
187,20
187,14
188,11
189,9
189,23
190,48
190,43
191,10
191,20
191,40
192,7
192,18
192,40
193,32
194,4
195,18
195,17
195,5
196,43
196,9
196,31
197,1
197,22
198,45
198,21
199,12
200,27
200,49
201,33
202,27
202,22
203,31
204,37
205,27
206,29
207,44
207,45
208,20
208,50
208,36
209,23
210,48
210,3
211,2
211,40
212,19
213,48
213,14
214,9
214,18
214,17
215,6
215,16
215,32
216,26
216,34
217,13
217,8
218,25
219,25
219,22
219,48
220,34
220,40
221,47
222,47
222,43
222,29
223,16
224,13
224,23
225,3
225,38
225,13
226,49
226,1
227,46
227,38
227,19
228,37
228,3
228,22
229,30
229,46
230,48
230,1
231,12
231,26
232,29
232,39
232,8
233,28
233,44
233,19
234,34
234,37
235,47
236,27
236,26
236,47
237,1
237,23
238,8
238,34
239,37
239,13
240,21
241,26
241,10
242,19
243,9
244,30
244,23
245,22
245,25
246,28
246,3
247,8
247,3
248,42
248,4
249,32
249,11
250,40
250,19
251,33
251,28
252,17
252,30
252,27
253,24
253,18
254,19
254,44
255,11
255,9
256,22
256,40
257,9
257,35
258,19
258,23
259,36
260,28
260,21
261,23
261,14
262,31
262,45
262,6
263,45
263,25
263,12
264,46
264,22
265,8
265,26
266,28
267,14
267,11
268,44
268,20
269,13
269,34
269,26
270,45
270,42
271,28
271,3
271,42
272,9
273,44
273,45
274,37
275,3
275,34
275,42
276,47
276,6
277,41
277,11
277,13
278,31
278,25
278,42
279,1
279,29
280,4
280,5
280,50
281,38
281,19
281,27
282,6
283,26
284,3
284,45
284,37
285,38
285,29
286,6
286,28
287,12
287,40
287,23
288,8
288,34
289,45
290,22
291,35
291,41
291,22
292,18
293,2
294,3
295,8
295,43
296,35
296,2
296,18
297,39
297,29
297,12
298,23
299,7
299,14
300,44
301,41
301,15
302,5
302,35
303,24
304,25
304,44
305,9
305,40
305,30
306,16
306,14
306,4
307,5
308,27
309,14
309,50
309,28
310,16
310,32
311,45
311,17
311,27
312,20
312,31
312,21
313,46
313,5
314,43
314,2
315,30
316,3
316,30
317,8
318,2
318,23
318,37
319,20
320,3
320,47
321,18
322,11
322,46
323,42
323,41
324,44
325,44
325,47
325,39
326,10
327,34
327,22
327,3
328,45
328,47
329,41
330,22
331,6
331,34
331,36
332,36
332,35
332,26
333,5
334,32
334,10
335,17
335,31
336,34
336,9
336,1
337,31
337,20
338,40
339,29
339,18
340,5
341,17
341,49
341,45
342,11
342,2
342,28
343,9
343,40
344,50
344,24
345,30
345,38
345,39
346,43
347,12
347,46
348,24
348,18
349,11
349,5
350,34
350,2
351,48
351,22
352,36
353,20
354,4
354,7
355,20
355,11
356,5
357,23
358,48
358,45
358,49
359,27
359,16
359,14
360,47
360,8
361,18
362,22
363,26
363,39
363,10
364,21
365,21
365,28
366,29
366,12
367,31
367,3
367,37
368,33
368,8
368,32
369,33
370,45
370,39
370,35
371,12
371,8
372,49
372,37
372,39
373,34
373,5
374,32
374,50
375,37
376,46
376,33
377,28
377,23
378,18
378,4
378,12
379,3
379,49
379,39
380,28
380,12
380,47
381,44
381,38
382,13
382,27
383,20
383,29
383,37
384,27
384,18
384,37
385,4
385,46
385,17
386,1
386,28
387,27
387,36
388,30
388,40
388,15
389,50
390,32
391,24
391,19
391,2
392,44
392,40
392,28
393,25
393,42
393,39
394,34
394,45
395,23
395,50
395,9
396,39
396,47
396,23
397,15
397,27
398,6
398,41
399,41
400,6
401,12
401,36
401,4
402,10
402,39
402,14
403,40
403,17
403,23
404,42
404,37
404,40
405,24
405,7
405,20
406,34
406,38
407,45
407,9
407,3
408,49
408,31
408,10
409,37
410,31
410,8
410,41
411,23
411,27
412,7
412,2
413,7
413,35
413,8
414,19
414,35
414,2
415,37
415,30
416,13
417,7
418,8
418,32
418,29
419,38
419,19
420,32
420,8
420,46
421,19
422,11
423,9
424,21
424,26
425,47
426,46
426,5
427,41
427,9
427,18
428,48
428,27
428,4
429,15
429,31
429,22
430,30
431,27
431,16
431,22
432,44
432,25
433,13
433,9
433,19
434,34
434,30
434,1
435,16
436,12
437,12
438,50
438,29
438,25
439,45
439,5
439,29
440,18
440,2
441,19
442,4
442,34
442,32
443,19
443,10
444,4
445,47
445,1
445,29
446,12
446,43
447,45
447,16
448,48
449,33
449,2
450,3
450,31
450,22
451,8
451,25
452,42
453,34
453,13
454,49
454,3
454,13
455,38
456,19
457,41
457,16
458,13
459,18
460,17
461,37
462,22
462,7
463,23
463,15
463,19
464,5
465,34
465,23
466,41
467,42
468,22
468,13
469,30
469,4
470,18
470,35
471,15
471,22
472,31
473,49
473,15
473,9
474,40
475,33
476,18
476,43
477,2
477,3
478,9
478,46
478,5
479,10
479,44
479,29
480,50
481,8
481,20
482,23
482,44
482,50
483,30
483,45
484,37
484,3
485,27
485,29
486,47
486,30
486,41
487,46
488,32
489,3
489,41
490,3
491,36
492,36
492,38
492,11
493,14
493,11
493,44
494,14
494,1
495,43
495,21
496,8
496,20
496,2
497,34
497,46
498,47
499,22
499,14
500,11
500,50
500,26
