item_id,attribute_id,related_item_id
1,25,75
1,25,296
1,25,375
1,14,204
1,14,363
2,36,265
2,13,147
2,13,409
2,21,57
3,25,419
3,25,69
3,25,126
3,17,228
3,17,365
3,4,67
4,32,271
4,32,92
4,13,93
4,46,272
4,46,88
4,46,446
5,18,484
5,18,455
6,14,232
7,44,355
7,44,427
7,11,46
7,11,327
7,5,370
8,12,455
8,12,353
8,12,224
9,28,125
9,28,494
9,44,124
10,47,130
10,47,146
10,1,123
10,29,441
11,50,22
11,50,20
11,50,339
11,37,294
11,37,134
11,37,64
11,29,500
12,18,89
12,18,323
12,16,265
12,16,366
13,38,366
13,38,69
13,37,183
13,37,130
14,38,159
14,38,224
14,38,93
15,41,158
15,41,19
15,41,406
15,7,378
15,25,456
15,25,261
16,6,66
16,6,166
16,6,200
16,9,404
17,45,67
17,45,338
17,19,182
17,19,108
18,34,147
18,34,7
18,34,123
19,42,168
19,42,40
19,42,29
19,6,295
19,6,337
19,6,284
20,45,106
20,45,169
20,45,309
20,28,348
20,36,295
21,35,183
22,47,219
22,47,372
22,47,35
22,32,242
22,32,300
22,32,347
23,13,241
23,13,153
23,13,474
24,38,285
24,38,427
24,1,54
24,1,219
24,1,295
25,2,258
25,2,375
26,25,334
26,25,441
26,25,186
26,50,167
26,37,383
26,37,178
27,19,211
27,19,397
27,27,407
27,27,163
27,27,364
28,6,323
28,22,281
28,22,81
29,2,368
29,2,142
29,2,322
29,26,436
29,26,364
30,35,349
30,35,395
31,33,186
31,33,83
31,33,18
32,13,317
32,13,422
33,41,382
33,25,80
33,25,254
33,25,344
34,5,69
34,5,426
34,5,452
34,50,254
34,50,158
34,27,474
35,13,99
35,13,415
35,50,156
35,50,238
35,33,93
35,33,342
35,33,19
36,20,115
36,22,148
36,22,349
36,16,48
36,16,281
36,16,22
37,11,468
37,11,312
38,44,499
38,44,393
38,34,426
38,34,317
38,34,402
39,14,19
39,14,90
39,34,208
39,34,323
39,34,347
40,28,169
40,40,288
40,40,165
40,40,476
40,11,377
41,2,498
41,33,104
42,47,479
42,47,396
42,47,99
42,42,148
42,42,56
42,42,382
42,10,215
43,31,231
43,22,34
43,22,61
44,2,381
45,3,401
45,19,276
45,19,115
46,42,489
47,48,456
47,48,250
47,46,396
47,46,458
48,24,460
48,24,237
49,46,397
49,46,316
49,46,10
49,19,32
49,19,420
49,19,17
49,6,50
49,6,460
49,6,38
50,2,464
50,2,240
50,2,216
51,22,189
51,22,80
51,22,196
51,2,147
51,2,27
51,2,2
51,43,139
51,43,28
51,43,368
52,21,331
52,21,343
52,19,142
52,19,451
52,12,446
52,12,81
53,38,117
53,38,471
53,38,103
53,33,401
53,33,25
54,36,236
54,14,93
54,41,455
54,41,415
54,41,141
55,5,180
55,5,322
55,50,367
55,50,485
56,12,472
56,12,166
56,12,443
56,16,12
56,16,364
