item_id,category,attribute_id
1,code,2
1,code,5
1,code,34
2,code,34
3,code,12
3,code,5
4,code,14
5,code,11
6,code,33
6,code,39
6,code,45
7,code,35
8,code,26
9,code,42
9,code,37
10,code,42
10,code,36
11,code,14
12,code,19
13,code,19
13,code,22
13,code,34
14,code,37
15,code,5
16,code,47
16,code,26
16,code,19
17,code,38
18,code,26
18,code,11
19,code,8
20,code,4
20,code,3
21,code,22
22,code,7
22,code,49
23,code,5
23,code,32
24,code,13
24,code,46
24,code,36
25,code,41
26,code,18
26,code,32
26,code,37
27,code,20
27,code,38
27,code,21
28,code,29
28,code,5
28,code,35
29,code,28
29,code,39
29,code,25
30,code,38
30,code,49
30,code,43
31,code,39
31,code,29
31,code,34
32,code,19
33,code,50
34,code,34
34,code,10
34,code,7
35,code,22
35,code,34
35,code,30
36,code,16
36,code,36
36,code,42
37,code,11
37,code,36
37,code,2
38,code,50
38,code,29
38,code,1
39,code,47
39,code,2
39,code,45
40,code,17
40,code,7
40,code,35
41,code,9
41,code,43
42,code,3
42,code,9
42,code,31
43,code,40
43,code,28
44,code,35
45,code,29
45,code,44
45,code,10
46,code,13
46,code,35
47,code,17
47,code,49
47,code,42
48,code,39
48,code,19
48,code,24
49,code,34
50,code,21
51,code,43
51,code,45
51,code,40
52,code,19
53,code,11
53,code,49
54,code,47
55,code,6
55,code,5
55,code,33
56,code,21
56,code,35
56,code,10
57,code,9
57,code,49
57,code,2
58,code,50
59,code,40
59,code,43
59,code,32
60,code,20
60,code,36
61,code,45
62,code,44
62,code,42
62,code,32
63,code,38
63,code,14
64,code,38
64,code,7
65,code,15
65,code,3
66,code,11
67,code,50
67,code,36
68,code,43
69,code,33
70,code,28
71,code,2
71,code,47
72,code,1
72,code,19
73,code,33
74,code,40
74,code,11
74,code,32
75,code,26
75,code,34
76,code,46
76,code,18
76,code,41
77,code,27
77,code,15
78,code,27
78,code,29
79,code,42
79,code,12
79,code,8
80,code,24
80,code,4
81,code,45
81,code,8
82,code,1
83,code,21
83,code,41
83,code,4
84,code,33
85,code,32
86,code,28
86,code,50
87,code,32
87,code,15
88,code,1
88,code,14
89,code,33
90,code,38
90,code,10
91,code,9
91,code,39
91,code,26
92,code,39
93,code,10
93,code,1
94,code,8
95,code,11
96,code,47
96,code,34
96,code,4
97,code,11
98,code,43
98,code,20
99,code,18
100,code,4
100,code,12
100,code,22
101,code,24
101,code,18
101,code,32
102,code,41
103,code,5
103,code,45
104,code,19
104,code,3
104,code,41
105,code,23
105,code,29
105,code,13
106,code,26
106,code,43
106,code,27
107,code,36
107,code,8
108,code,8
108,code,47
109,code,13
109,code,36
109,code,1
110,code,23
110,code,28
111,code,5
111,code,45
112,code,8
112,code,1
113,code,4
113,code,33
113,code,32
114,code,42
115,code,39
115,code,25
116,code,45
117,code,25
118,code,16
119,code,50
119,code,8
119,code,40
120,code,29
120,code,3
120,code,14
121,code,29
122,code,31
123,code,29
123,code,13
124,code,41
124,code,23
124,code,30
125,code,22
125,code,18
126,code,9
127,code,19
127,code,4
127,code,7
128,code,19
128,code,26
128,code,39
129,code,30
129,code,41
130,code,30
131,code,17
132,code,47
132,code,26
133,code,34
133,code,25
133,code,12
134,code,13
135,code,37
135,code,5
135,code,29
136,code,24
137,code,42
137,code,43
138,code,15
138,code,19
139,code,4
140,code,7
140,code,39
141,code,49
141,code,2
142,code,28
143,code,44
143,code,19
144,code,23
144,code,25
145,code,36
145,code,25
146,code,26
147,code,15
147,code,1
147,code,13
148,code,49
149,code,50
149,code,8
150,code,48
151,code,14
151,code,3
152,code,36
152,code,50
152,code,39
153,code,2
154,code,10
154,code,5
154,code,45
155,code,16
155,code,25
155,code,11
156,code,9
156,code,3
156,code,16
157,code,39
157,code,29
158,code,48
158,code,50
158,code,18
159,code,4
159,code,37
160,code,41
161,code,13
161,code,11
162,code,49
163,code,48
163,code,44
164,code,10
164,code,34
164,code,3
165,code,45
166,code,44
166,code,26
166,code,49
167,code,8
168,code,11
169,code,13
169,code,11
169,code,37
170,code,49
171,code,27
172,code,39
172,code,23
173,code,3
174,code,35
174,code,31
174,code,46
175,code,20
176,code,2
176,code,34
176,code,32
177,code,8
178,code,15
178,code,37
178,code,16
179,code,25
180,code,42
181,code,43
181,code,11
181,code,49
182,code,29
182,code,44
182,code,8
183,code,19
184,code,44
185,code,12
185,code,2
185,code,38
186,code,29
186,code,10
187,code,35
187,code,14
187,code,17
188,code,33
188,code,39
188,code,28
189,code,26
189,code,33
190,code,35
190,code,25
191,code,9
191,code,3
191,code,50
192,code,26
192,code,10
193,code,31
193,code,12
194,code,8
194,code,38
194,code,11
195,code,45
195,code,12
195,code,8
196,code,39
197,code,6
197,code,35
198,code,9
199,code,11
199,code,13
199,code,40
200,code,2
200,code,49
200,code,44
201,image,40
201,image,49
202,image,24
203,image,3
204,image,36
204,image,11
205,image,33
205,image,27
206,image,11
206,image,5
206,image,8
207,image,46
208,image,29
208,image,10
209,image,2
209,image,36
210,image,19
211,image,43
211,image,47
211,image,20
212,image,28
212,image,7
212,image,14
213,image,15
213,image,36
213,image,18
214,image,42
215,image,38
215,image,5
215,image,30
216,image,14
217,image,28
217,image,6
218,image,4
219,image,39
219,image,22
220,image,43
221,image,20
221,image,30
221,image,33
222,image,1
223,image,19
223,image,9
223,image,7
224,image,14
224,image,4
224,image,26
225,image,45
225,image,35
226,image,8
226,image,22
226,image,7
227,image,23
227,image,50
227,image,7
228,image,11
228,image,16
228,image,40
229,image,35
229,image,38
229,image,33
230,image,13
231,image,16
231,image,12
232,image,11
233,image,29
233,image,48
233,image,20
234,image,26
235,image,24
235,image,13
236,image,21
236,image,42
237,image,26
237,image,25
238,image,9
238,image,50
238,image,22
239,image,5
240,image,35
240,image,7
240,image,17
241,image,50
242,image,5
242,image,24
242,image,6
243,image,6
244,image,6
244,image,32
245,image,17
246,image,48
246,image,33
246,image,47
247,image,26
247,image,38
248,image,15
248,image,14
249,image,28
249,image,35
249,image,43
250,image,24
250,image,38
251,image,10
251,image,44
252,image,46
252,image,34
252,image,11
253,image,22
254,image,37
255,image,7
256,image,13
256,image,41
256,image,16
257,image,14
257,image,15
258,image,34
258,image,8
259,image,35
260,image,8
260,image,29
261,image,28
262,image,25
263,image,43
263,image,39
264,image,14
265,image,1
266,image,26
266,image,39
267,image,37
268,image,6
268,image,47
269,image,36
269,image,42
270,image,46
270,image,15
271,image,20
271,image,44
271,image,33
272,image,34
272,image,37
273,image,39
273,image,6
274,image,43
274,image,18
275,image,37
276,image,33
277,image,1
278,image,36
278,image,37
279,image,6
279,image,50
279,image,39
280,image,10
281,image,19
281,image,15
282,image,11
282,image,8
283,image,6
283,image,28
283,image,45
284,image,13
284,image,25
284,image,20
285,image,19
285,image,3
285,image,33
286,image,27
286,image,12
286,image,44
287,image,43
288,image,8
289,image,4
289,image,13
290,image,31
290,image,38
290,image,44
291,image,5
291,image,2
292,image,37
292,image,34
292,image,47
293,image,11
293,image,24
293,image,45
294,image,31
294,image,42
294,image,35
295,image,1
296,image,7
296,image,31
296,image,35
297,image,6
298,image,26
299,image,16
299,image,13
300,image,8
300,image,9
301,image,14
301,image,18
302,image,45
303,image,23
304,image,37
304,image,46
305,image,12
305,image,43
306,image,13
307,image,35
307,image,41
308,image,34
309,image,33
309,image,48
310,image,11
311,image,43
312,image,27
312,image,40
312,image,13
313,image,15
313,image,18
314,image,48
314,image,26
314,image,38
315,image,27
315,image,1
315,image,31
316,image,2
316,image,30
317,image,4
318,image,41
318,image,25
319,image,39
320,image,44
320,image,12
321,image,6
321,image,50
322,image,35
323,image,15
323,image,21
323,image,29
324,image,41
324,image,30
325,image,37
325,image,4
325,image,11
326,image,8
326,image,49
327,image,46
328,image,19
328,image,37
328,image,2
329,image,21
329,image,39
329,image,35
330,image,43
330,image,16
330,image,37
331,image,50
331,image,49
332,image,31
332,image,3
332,image,41
333,image,8
333,image,36
333,image,11
334,image,13
335,image,34
335,image,1
335,image,29
336,image,32
336,image,12
337,image,34
337,image,9
338,image,50
338,image,30
338,image,40
339,image,36
339,image,50
340,image,9
340,image,36
340,image,37
341,image,10
342,image,49
342,image,11
343,image,50
343,image,13
343,image,19
344,image,36
345,image,12
346,image,36
347,image,6
348,image,33
349,image,20
350,image,7
351,image,5
351,image,21
351,image,36
352,image,42
352,image,30
352,image,32
353,image,41
353,image,5
354,image,2
355,image,38
355,image,8
355,image,9
356,image,14
357,image,30
358,image,14
358,image,36
358,image,9
359,image,19
360,image,9
360,image,12
361,image,33
362,image,50
362,image,28
362,image,22
363,image,19
363,image,27
364,image,32
365,image,38
366,image,19
366,image,27
366,image,40
367,image,4
368,image,9
368,image,18
369,image,30
370,image,18
370,image,19
370,image,40
371,image,29
371,image,50
371,image,39
372,image,27
372,image,6
372,image,36
373,image,22
373,image,26
374,image,29
374,image,5
375,image,16
375,image,22
376,image,48
377,image,11
378,image,15
378,image,19
379,image,17
379,image,10
380,image,7
380,image,39
380,image,24
381,image,42
381,image,34
382,image,45
382,image,29
382,image,22
383,image,50
383,image,27
384,image,31
384,image,30
385,image,18
385,image,12
386,image,6
386,image,30
387,image,39
387,image,16
387,image,12
388,image,10
389,image,44
389,image,24
390,image,3
390,image,10
390,image,30
391,image,34
391,image,26
391,image,9
392,image,10
392,image,30
393,image,44
394,image,45
394,image,2
395,image,34
396,image,19
396,image,1
397,image,44
397,image,20
398,image,36
398,image,43
398,image,41
399,image,40
399,image,32
399,image,44
400,image,12
400,image,11
400,image,2
401,video,37
401,video,48
401,video,44
402,video,1
402,video,33
403,video,39
403,video,38
404,video,32
405,video,17
405,video,6
405,video,31
406,video,49
407,video,44
407,video,47
408,video,39
409,video,34
410,video,29
410,video,7
410,video,1
411,video,20
412,video,11
412,video,36
412,video,12
413,video,18
413,video,12
414,video,44
414,video,48
415,video,5
415,video,17
416,video,2
416,video,45
416,video,43
417,video,18
417,video,48
418,video,49
418,video,46
418,video,31
419,video,9
420,video,12
421,video,20
421,video,26
422,video,42
423,video,7
423,video,2
423,video,44
424,video,27
424,video,17
424,video,19
425,video,22
425,video,46
426,video,6
426,video,36
426,video,44
427,video,50
427,video,8
428,video,3
428,video,18
429,video,29
430,video,33
430,video,36
431,video,16
431,video,2
431,video,28
432,video,47
433,video,33
433,video,5
434,video,18
434,video,49
435,video,20
435,video,49
436,video,30
436,video,17
436,video,26
437,video,3
438,video,50
439,video,13
439,video,6
440,video,47
441,video,14
441,video,7
442,video,26
443,video,4
444,video,13
445,video,31
445,video,26
445,video,6
446,video,27
446,video,30
446,video,12
447,video,5
447,video,6
447,video,37
448,video,36
449,video,34
449,video,8
450,video,13
450,video,47
451,video,19
452,video,18
453,video,31
453,video,25
454,video,28
454,video,15
455,video,16
455,video,44
456,video,20
456,video,8
456,video,19
457,video,9
458,video,12
459,video,9
459,video,28
460,video,8
460,video,43
461,video,2
461,video,8
461,video,16
462,video,34
462,video,18
462,video,46
463,video,2
464,video,35
465,video,22
465,video,1
465,video,48
466,video,15
466,video,20
466,video,4
467,video,7
467,video,6
468,video,19
468,video,20
468,video,1
469,video,28
469,video,33
469,video,2
470,video,29
470,video,40
470,video,42
471,video,32
471,video,5
471,video,9
472,video,31
472,video,39
472,video,41
473,video,49
474,video,13
474,video,16
475,video,36
476,video,30
476,video,50
477,video,9
477,video,38
477,video,10
478,video,24
478,video,3
479,video,48
480,video,49
481,video,7
481,video,4
481,video,47
482,video,9
483,video,12
484,video,38
484,video,8
484,video,43
485,video,12
486,video,16
487,video,34
487,video,23
488,video,6
488,video,34
489,video,5
489,video,17
490,video,22
