item_id,category,attribute_id,related_item_id
1,code,2,537
1,code,2,591
1,code,5,713
1,code,5,10
1,code,34,90
1,code,34,698
1,code,34,721
2,code,34,537
2,code,34,239
3,code,12,14
3,code,12,260
3,code,12,412
3,code,5,335
3,code,5,225
3,code,5,191
4,code,14,715
4,code,14,190
5,code,11,6
5,code,11,487
5,code,11,582
6,code,33,730
6,code,33,767
6,code,33,375
6,code,39,527
6,code,39,800
6,code,45,257
6,code,45,171
7,code,35,21
7,code,35,107
7,code,35,253
8,code,26,757
8,code,26,87
9,code,42,190
9,code,37,592
9,code,37,134
9,code,37,215
10,code,42,148
10,code,42,143
10,code,42,347
10,code,36,367
10,code,36,272
10,code,36,627
11,code,14,753
11,code,14,691
11,code,14,597
12,code,19,380
13,code,19,675
13,code,22,762
13,code,22,730
13,code,22,162
13,code,34,430
13,code,34,335
14,code,37,629
14,code,37,63
15,code,5,90
15,code,5,241
16,code,47,508
16,code,26,796
16,code,19,721
17,code,38,334
18,code,26,415
18,code,26,477
18,code,11,20
19,code,8,754
20,code,4,755
20,code,4,681
20,code,4,552
20,code,3,791
21,code,22,250
21,code,22,678
22,code,7,521
22,code,7,264
22,code,49,780
22,code,49,620
22,code,49,37
23,code,5,188
23,code,32,798
23,code,32,488
24,code,13,720
24,code,46,182
24,code,46,166
24,code,46,691
24,code,36,522
25,code,41,212
25,code,41,756
25,code,41,745
26,code,18,246
26,code,32,422
26,code,32,389
26,code,32,663
26,code,37,537
26,code,37,159
27,code,20,267
27,code,20,752
27,code,38,410
27,code,38,663
27,code,21,236
28,code,29,140
28,code,5,14
28,code,5,555
28,code,35,373
29,code,28,656
29,code,39,386
29,code,39,743
29,code,39,33
29,code,25,337
29,code,25,114
30,code,38,740
30,code,49,66
30,code,49,416
30,code,49,785
30,code,43,40
30,code,43,626
30,code,43,279
31,code,39,644
31,code,39,641
31,code,29,790
31,code,34,49
31,code,34,798
31,code,34,535
32,code,19,704
32,code,19,428
33,code,50,128
33,code,50,171
34,code,34,638
34,code,34,334
34,code,34,185
34,code,10,387
34,code,10,738
34,code,10,587
34,code,7,314
34,code,7,12
34,code,7,619
35,code,22,75
35,code,22,644
35,code,22,536
35,code,34,391
35,code,30,800
35,code,30,135
35,code,30,762
36,code,16,67
36,code,36,698
36,code,42,51
37,code,11,350
37,code,11,552
37,code,11,3
37,code,36,750
37,code,36,215
37,code,36,591
37,code,2,436
38,code,50,209
38,code,50,125
38,code,29,792
38,code,29,240
38,code,1,369
38,code,1,632
39,code,47,448
39,code,47,560
39,code,2,796
39,code,2,285
39,code,45,510
39,code,45,130
39,code,45,725
40,code,17,581
40,code,17,355
40,code,17,414
40,code,7,273
40,code,7,481
40,code,35,418
41,code,9,80
41,code,9,127
41,code,43,144
41,code,43,745
41,code,43,659
42,code,3,620
42,code,3,488
42,code,9,744
42,code,31,206
42,code,31,510
42,code,31,126
43,code,40,638
43,code,40,597
43,code,28,110
43,code,28,135
43,code,28,117
44,code,35,709
44,code,35,103
45,code,29,428
45,code,44,436
45,code,44,133
45,code,44,120
45,code,10,500
45,code,10,598
45,code,10,469
46,code,13,497
46,code,13,171
46,code,13,416
46,code,35,786
47,code,17,534
47,code,17,621
47,code,49,722
47,code,42,672
47,code,42,715
47,code,42,497
48,code,39,180
48,code,39,430
48,code,39,252
48,code,19,790
48,code,19,377
48,code,19,320
48,code,24,652
48,code,24,44
49,code,34,644
49,code,34,8
50,code,21,310
51,code,43,586
51,code,45,514
51,code,40,213
51,code,40,435
51,code,40,98
52,code,19,234
52,code,19,587
52,code,19,394
53,code,11,659
53,code,11,431
53,code,49,736
53,code,49,504
53,code,49,738
54,code,47,755
54,code,47,314
54,code,47,737
55,code,6,430
55,code,6,511
55,code,6,530
55,code,5,654
55,code,5,541
55,code,5,186
55,code,33,753
55,code,33,397
56,code,21,88
56,code,21,676
56,code,21,27
56,code,35,122
56,code,10,276
56,code,10,199
56,code,10,54
57,code,9,471
57,code,9,775
57,code,49,36
57,code,49,558
57,code,49,326
57,code,2,756
57,code,2,584
58,code,50,545
58,code,50,559
58,code,50,262
59,code,40,280
59,code,43,165
59,code,32,383
59,code,32,799
60,code,20,654
60,code,20,144
60,code,20,181
60,code,36,393
61,code,45,401
61,code,45,275
62,code,44,698
62,code,42,637
62,code,42,458
62,code,42,410
62,code,32,621
62,code,32,642
62,code,32,557
63,code,38,590
63,code,38,153
63,code,38,614
63,code,14,698
64,code,38,677
64,code,38,296
64,code,38,583
64,code,7,129
64,code,7,72
64,code,7,699
65,code,15,422
65,code,3,665
65,code,3,422
65,code,3,139
66,code,11,185
66,code,11,323
66,code,11,688
67,code,50,521
67,code,50,532
67,code,36,720
67,code,36,731
67,code,36,724
68,code,43,454
68,code,43,192
69,code,33,658
69,code,33,17
70,code,28,430
70,code,28,483
71,code,2,632
71,code,47,697
72,code,1,781
72,code,1,135
72,code,1,376
72,code,19,690
72,code,19,627
73,code,33,481
73,code,33,55
73,code,33,707
74,code,40,675
74,code,40,483
74,code,40,553
74,code,11,454
74,code,11,199
74,code,32,587
74,code,32,142
74,code,32,333
75,code,26,657
75,code,26,735
75,code,26,66
75,code,34,726
75,code,34,696
75,code,34,330
76,code,46,204
76,code,46,430
76,code,46,302
76,code,18,180
76,code,18,708
76,code,18,417
76,code,41,92
76,code,41,354
76,code,41,256
77,code,27,219
77,code,15,453
77,code,15,709
78,code,27,519
78,code,27,145
78,code,27,109
78,code,29,622
78,code,29,337
79,code,42,82
79,code,42,786
79,code,42,343
79,code,12,147
79,code,12,29
79,code,12,52
79,code,8,275
79,code,8,233
79,code,8,569
80,code,24,455
80,code,4,358
80,code,4,5
81,code,45,339
81,code,8,648
82,code,1,302
82,code,1,407
83,code,21,300
83,code,21,598
83,code,41,160
83,code,4,22
83,code,4,55
